datetime,open,high,low,close,volume,adx,bop,ema,sma1,sma2,sma3,sma4,obv,kst,kst_signal,macd,macd_signal,macd_hist,mfi,percent_b,ultosc,Pct_change
2021-02-01 00:00:00,71.37,73.63,70.32,73.53,35108600,28.51641,0.65257,57.80936,73.48143,69.773,61.4628,58.09105,1925418900.0,222.97195,232.38935,3.30288,3.43121,-0.12833,75.47288,0.73581,58.74775,-0.0108958837772397
2021-01-25 00:00:00,74.08,74.73,70.01,70.64,47473200,29.21862,-0.72881,57.65136,73.29286,69.3825,61.2024,57.98395,1890310300.0,233.7323,231.03674,3.40677,3.46329,-0.05653,68.02021,0.57902,55.9471,-0.0393036855705154
2021-01-18 00:00:00,75.95,76.15,73.78,74.38,22508700,29.97485,-0.66245,57.52083,73.33,69.104,60.9914,57.89405,1937783500.0,250.12458,227.2926,3.78407,3.47742,0.30665,72.81607,0.82372,62.45584,0.0529445073612684
2021-01-11 00:00:00,75.38,77.77,74.55,75.34,35339100,28.8121,-0.01242,57.35139,72.95857,68.607,60.6564,57.7843,1960292200.0,250.65403,220.793,3.8298,3.40076,0.42904,78.83138,0.92015,66.54912,0.0129066953482119
2021-01-04 00:00:00,73.03,77.39,71.29,76.51,64582800,27.0848,0.57049,57.1706,72.44,68.0385,60.3444,57.6691,1995631300.0,245.76175,213.62015,3.73472,3.2935,0.44122,78.94395,1.0555,73.3347,0.0155295991505177
2020-12-28 00:00:00,72.25,72.51,70.77,72.39,12165600,25.29922,0.08046,56.97623,71.47571,67.3075,60.037,57.54705,1931048500.0,227.9068,206.18784,3.43992,3.1832,0.25672,77.35342,0.86225,68.52997,-0.0538491700431317
2020-12-21 00:00:00,70.58,71.88,70.0,71.58,13852100,24.5655,0.53192,56.82132,70.99286,66.8195,59.7808,57.4455,1918882900.0,223.32607,200.34526,3.4331,3.11902,0.31408,70.37018,0.84548,59.47796,-0.0111893907998342
2020-12-14 00:00:00,71.52,72.39,69.97,72.21,22442500,23.96948,0.28513,56.67299,70.48143,66.326,59.5436,57.35165,1932735000.0,219.80978,195.07203,3.45692,3.0405,0.41643,75.33778,0.9283,62.09028,0.0088013411567475
2020-12-07 00:00:00,71.73,72.13,70.37,70.9,21290700,23.32762,-0.47159,56.51684,69.19143,65.7335,59.3226,57.24605,1910292500.0,217.21691,189.87315,3.37291,2.93639,0.43652,68.98648,0.88099,57.40126,-0.0181415316438164
2020-11-30 00:00:00,71.61,72.33,70.2,71.78,27087900,22.4159,0.07981,56.37228,68.49143,65.262,59.1222,57.1459,1931583200.0,210.79847,184.28128,3.35,2.82726,0.52274,75.452,0.9948,59.17906,0.0124118476727785
2020-11-23 00:00:00,70.31,72.3,70.02,71.71,16859100,21.43404,0.61403,56.21743,67.70429,64.731,58.8954,57.0401,1904495300.0,200.03505,178.0116,3.18242,2.69658,0.48585,74.67446,1.07273,58.93908,-0.0009752020061299
2020-11-16 00:00:00,70.12,70.55,68.8,69.76,25212200,20.38365,-0.20571,56.06173,66.96143,64.045,58.6632,56.93005,1887636200.0,191.62815,172.22795,2.92938,2.57511,0.35426,71.81536,0.98589,59.76944,-0.0271928601310833
2020-11-09 00:00:00,71.26,72.41,67.4,69.01,43742400,19.66309,-0.4491,55.92406,66.03857,63.4335,58.4688,56.8326,1862424000.0,186.09836,167.26109,2.76234,2.48655,0.27579,71.5092,0.97098,60.24818,-0.0107511467889908
2020-11-02 00:00:00,64.13,68.61,63.96,68.0,42853000,18.88711,0.83226,55.79254,65.10286,62.7075,58.2752,56.73965,1818681600.0,178.87098,162.05603,2.58532,2.4176,0.16771,70.35613,0.90488,61.58421,-0.0146355600637589
2020-10-19 00:00:00,65.17,65.18,61.54,63.18,34668900,19.03493,-0.5467,55.66985,64.77714,62.1165,58.1224,56.65715,1775828600.0,175.32354,156.66692,2.4246,2.37567,0.04893,63.55659,0.57995,53.91873,-0.0708823529411765
2020-10-12 00:00:00,66.49,66.72,64.72,66.0,21163600,20.34386,-0.245,55.59437,65.04714,61.7095,58.0622,56.59115,1810497500.0,175.86705,149.41106,2.67497,2.36344,0.31153,70.41526,0.79366,59.49882,0.0446343779677114
2020-10-05 00:00:00,66.89,66.97,65.0,66.27,28077100,20.31436,-0.31472,55.4898,64.82429,61.401,57.9224,56.50895,1831661100.0,173.01984,140.06038,2.6685,2.28556,0.38294,76.25668,0.84426,59.43606,0.0040909090909089
2020-09-28 00:00:00,63.81,66.8,63.58,66.51,43204400,20.14124,0.83851,55.38145,64.49572,60.86,57.7622,56.4192,1859738200.0,166.89003,128.53957,2.59393,2.18982,0.40411,76.86629,0.89488,61.09742,0.0036215482118606
2020-09-21 00:00:00,63.35,64.24,61.84,63.3,44629600,20.00636,-0.02083,55.26961,63.83571,60.181,57.5822,56.3274,1816533800.0,154.37141,115.61923,2.43659,2.0888,0.34779,75.66353,0.70928,55.59466,-0.0482634190347317
2020-09-14 00:00:00,64.09,64.15,60.93,62.46,36780100,20.68845,-0.50621,55.1889,63.74,59.5595,57.4632,56.2429,1771904200.0,147.98217,101.17713,2.52716,2.00185,0.52531,68.86287,0.67411,53.61649,-0.0132701421800947
2020-09-07 00:00:00,65.61,67.14,65.33,65.72,40725900,21.45388,0.06077,55.11582,63.63286,59.0605,57.3402,56.16425,1808684300.0,146.92642,85.36874,2.69153,1.87052,0.82101,70.36117,0.88015,60.1431,0.0521934037784181
2020-08-31 00:00:00,63.8,65.42,62.75,65.07,31690200,20.08166,0.47566,55.00925,62.86714,58.314,57.18,56.07095,1767958400.0,139.25285,67.21156,2.53025,1.66527,0.86498,58.16457,0.87933,56.93673,-0.0098904443091906
2020-08-24 00:00:00,63.86,66.33,62.74,64.44,52151900,19.08612,0.16156,54.90813,62.35286,57.5535,57.0454,55.9772,1736268200.0,130.369,47.04079,2.35377,1.44902,0.90475,65.06806,0.87988,54.42697,-0.0096818810511756
2020-08-17 00:00:00,62.68,64.03,62.46,63.97,14862100,18.014,0.82166,54.81234,61.88429,56.8445,56.9394,55.8893,1684116300.0,110.02075,25.65398,2.15843,1.22283,0.9356,61.97913,0.89513,61.10008,-0.0072936064556176
2020-08-10 00:00:00,63.12,63.36,61.55,61.89,12434000,17.55574,-0.67956,54.7203,61.03,56.217,56.8048,55.8082,1669254200.0,91.711,3.74719,1.92556,0.98893,0.93663,62.35613,0.82654,58.48379,-0.0325152415194621
